"API14","Well Name","Well Number","Lease Name","Operator Alias","Reported Operator","Field","County/Parish","KB Elevation","Ground Elevation","Measured Depth (TD)","True Vertical Depth","Production Type","Well Status","Target Formation","Spud Date","Completion Date","Drill Type","Upper Perforation","Lower Perforation","Perforated Interval Length","Horizontal Length","First Prod Date","Start Date (First Treatment Job)","End Date (First Treatment Job)","First Test Gas Volume","First Test Oil Volume","First Test Water Volume","First Test Hours Tested","First Test Production Method","First Well Test Date","First Reported Test Type","Last Well Test Date","Last Test Type","First Test Gas Gravity","First Test Oil Gravity","First Test GOR","First Test Casing Pressure","First Test Choke Size","First Test Flowing Tubing Pressure","Peak BOE","Peak Gas","Peak Oil","Cum BOE","Cum Gas","Cum Oil","Cum Water","First 6 BOE","First 6 Gas","First 6 Oil","First 6 Water","First 12 BOE","First 12 Gas","First 12 Oil","First 12 Water","First 24 BOE","First 24 Gas","First 24 Oil","First 24 Water","First 60 BOE","First 60 Gas","First 60 Oil","First 60 Water","Has Digitized Trajectory (Y/N)","Has Well Log (LAS) (Y/N)","Has Well Log (Raster) (Y/N)","LAS Mnemonics","Country","Basin","Play Assessment Basin","State","Section","Township","Range","Quarter Quarter","District","Abstract","Block","Survey","Surface Hole Latitude (WGS84)","Surface Hole Longitude (WGS84)","Bottom Hole Latitude (WGS84)","Bottom Hole Longitude (WGS84)","UWI"
"35051237550000","BETTY JEAN","1-8-5XH","BETTY JEAN","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1134.00","22445.00","13034.00","OIL","ACTIVE","WOODFORD","2013-12-31","2014-07-24","H","13714.00","22281.00","8567.00","8731.00","2014-07-01","","2014-07-24","328.00","93.00","2264.00","24.00","Flowing","2014-07-31","InitialPotentialTest","2014-07-31","InitialPotentialTest","","48.40","3516.00","","32/64","","8743.00","17340.00","5853.00","166337.00","336880.00","110190.00","0.00","37366.00","75316.00","24813.00","0.00","65330.00","132476.00","43251.00","0.00","117810.00","245262.00","76933.00","0.00","","","","","true","false","true","","USA","ANADARKO BASIN","","OK","=""08""","=""07N""","=""06W""","SE SE SW","","","","","35.0883793","-97.8573072","","","35-051-23755"
"35051238210000","GOOD MARTIN","5-10-3XH","GOOD MARTIN","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1194.00","20041.00","11879.00","OIL","ACTIVE","WOODFORD","2014-06-27","2015-01-11","H","13215.00","19855.00","6640.00","6826.00","2015-01-01","","2015-01-11","670.00","499.00","1821.00","24.00","Unknown","2015-01-27","InitialPotentialTest","2015-01-27","InitialPotentialTest","","43.00","1343.00","","64/64","200.00","18320.00","31922.00","13546.00","183918.00","557258.00","91042.00","0.00","62907.00","111150.00","44382.00","0.00","99769.00","228110.00","61751.00","0.00","156604.00","447312.00","82052.00","0.00","","","","","true","false","true","","USA","ANADARKO BASIN","","OK","15","=""06N""","=""05W""","NW NW NE","","","","","34.9998052","-97.7135040","","","35-051-23821"
"35051238550000","NORTH RYAN","1-5X8H","NORTH RYAN","GULFPORT ENERGY","GULFPORT ENERGY CORPORATION","CHITWOOD","GRADY (OK)","","1182.00","22316.00","14383.00","OIL","ACTIVE","WOODFORD","2014-09-09","2015-02-28","H","14453.00","22100.00","7647.00","8345.00","2015-03-01","2015-02-23","2015-02-23","3950.00","699.00","1392.00","24.00","Flowing","2015-04-13","InitialPotentialTest","2015-04-13","InitialPotentialTest","","54.80","5651.00","","32","","54120.00","229976.00","21823.00","743180.00","3150578.00","218084.00","0.00","214775.00","752308.00","89390.00","0.00","406339.00","1614199.00","137306.00","0.00","640011.00","2677913.00","193692.00","0.00","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","=""05""","=""04N""","=""05W""","NE NW NW","","","","","34.8545523","-97.7519089","","","35-051-23855"
"35051238900000","BARBARA BRAND","1-6H","BARBARA BRAND","MARATHON OIL","MARATHON OIL COMPANY","ALEX NW","GRADY (OK)","","1055.00","18985.00","14347.00","OIL","ACTIVE","WOODFORD","2014-12-31","2015-07-17","H","14342.00","18852.00","4510.00","5090.00","2015-06-01","2015-06-18","2015-06-23","900.00","131.00","476.00","24.00","Flowing","2015-07-14","InitialPotentialTest","2015-07-14","InitialPotentialTest","","","6870.00","","52/64","","6980.00","20545.00","3760.00","140602.00","412791.00","71803.00","0.00","31043.00","86641.00","16603.00","0.00","67178.00","191433.00","35272.00","0.00","129054.00","399578.00","62458.00","0.00","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","=""06""","=""05N""","=""05W""","NE NW NW","","","","","34.9418798","-97.7731664","","","35-051-23890"
"35051239940000","MARY B","1-5XH","MARY B","MARATHON OIL","MARATHON OIL COMPANY","UNKNOWN","GRADY (OK)","","1160.00","21731.00","12858.00","OIL","ACTIVE","WOODFORD","2016-01-12","2016-04-15","H","12728.00","21552.00","8824.00","9504.00","2016-04-01","2016-03-29","2016-04-11","988.00","556.00","892.00","24.00","Flowing","2016-05-01","InitialPotentialTest","2016-05-01","InitialPotentialTest","","","1777.00","","64/64","","15217.00","17569.00","12329.00","166739.00","217811.00","130437.00","0.00","59926.00","75593.00","47327.00","0.00","118797.00","171209.00","90262.00","0.00","","","","","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","=""05""","=""06N""","=""05W""","NW NW NW","","","","","35.0289981","-97.7579850","","","35-051-23994"
"35051240130000","ROSEMARY","3H-1-36","ROSEMARY","CITIZEN ENERGY","CITIZEN ENERGY II LLC","TUTTLE NE","GRADY (OK)","","1311.00","18129.00","9892.00","OIL","ACTIVE","WOODFORD","2016-01-15","2016-04-30","H","10680.00","17994.00","7314.00","8200.00","2016-06-01","","2016-04-30","1087.00","210.00","1488.00","24.00","Pumping","2016-09-08","InitialPotentialTest","2016-09-08","InitialPotentialTest","","43.00","5176.00","","","399.00","8188.00","21723.00","4567.00","46092.00","139334.00","22870.00","0.00","20485.00","59572.00","10556.00","0.00","42883.00","126392.00","21818.00","0.00","","","","","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","=""01""","=""09N""","=""06W""","NE NW SE","","","","","35.2828722","-97.7833331","","","35-051-24013"
"35051240200000","ANDERSON","1H-33","ANDERSON","CITIZEN ENERGY","CITIZEN ENERGY II LLC","TUTTLE EAST","GRADY (OK)","","1283.00","15030.00","9600.00","OIL","ACTIVE","WOODFORD","2016-03-26","2016-05-30","H","9970.00","14923.00","4953.00","4953.00","2016-06-01","","2016-05-30","2232.00","725.00","1021.00","24.00","Flowing","2016-06-22","InitialPotentialTest","2016-06-22","InitialPotentialTest","","42.00","3078.00","","64/64","466.00","30433.00","96021.00","14429.00","208685.00","823009.00","71517.00","0.00","124194.00","431922.00","52207.00","0.00","187819.00","710615.00","69383.00","0.00","","","","","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","33","10N","=""05W""","NW NW NW","","","","","35.3046119","-97.7395929","","","35-051-24020"
"35051240250000","R. K. MORRIS","1-29-17XH","R. K. MORRIS","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1116.00","25068.00","12675.00","OIL","ACTIVE","WOODFORD","2016-02-29","2016-05-25","H","13445.00","24927.00","11482.00","11623.00","2016-05-01","2016-05-06","2016-05-17","1018.00","480.00","3345.00","24.00","Flowing","2016-06-03","InitialPotentialTest","2016-06-03","InitialPotentialTest","","47.00","2121.00","","34/64","690.00","32713.00","47805.00","24745.00","192472.00","259127.00","149284.00","0.00","62624.00","88959.00","47798.00","0.00","154928.00","205066.00","120750.00","0.00","","","","","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","29","=""06N""","=""05W""","NW SW NW","","","","","34.9671403","-97.7579384","","","35-051-24025"
"35051240320000","NEKIAH","1-18XH","NEKIAH","MARATHON OIL","MARATHON OIL COMPANY","UNKNOWN","GRADY (OK)","","1085.00","18017.00","12894.00","OIL","ACTIVE","WOODFORD","2016-05-30","2016-08-19","H","13452.00","13588.00","136.00","5100.00","2016-08-01","2016-08-05","2016-08-15","2415.00","731.00","1385.00","24.00","Flowing","2016-08-27","InitialPotentialTest","2016-08-27","InitialPotentialTest","","","3304.00","","38/64","","23223.00","46269.00","15511.00","265243.00","425059.00","194400.00","0.00","113002.00","219112.00","76483.00","0.00","230173.00","425059.00","159330.00","0.00","","","","","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","18","=""06N""","=""05W""","SE SW SW","","","","","34.9867548","-97.7737776","","","35-051-24032"
"35051237240000","RILEY","1-28H","RILEY","CONTINENTAL RESOURCES","CONTINENTAL RESOURCES, INC.","UNKNOWN","GRADY (OK)","","1138.00","18033.00","13600.00","OIL","ACTIVE","WOODFORD","2013-09-25","2013-12-16","H","14097.00","17925.00","3828.00","3936.00","2013-12-01","2013-12-14","2013-12-14","3085.00","245.60","1104.00","24.00","Flowing","2014-01-04","InitialPotentialTest","2014-01-04","InitialPotentialTest","","56.60","12561.00","","34/64","","24785.00","125426.00","3881.00","317902.00","1515233.00","65363.00","0.00","72841.00","348239.00","14801.00","0.00","131978.00","632304.00","26594.00","0.00","215203.00","1027223.00","43999.00","0.00","","","","","true","false","false","","USA","ANADARKO BASIN","","OK","28","=""07N""","=""06W""","SE SW SW","","","","","35.0451216","-97.8433980","","","35-051-23724"
